word,val1,val2,val3
룸메,0.6177+sleep_sensitive,0.5417+sleep_habit,0.5299+college_of
쪽지,0.6121+m_sleep,0.5851+college_of,0.5494+weekday_stay
기숙사,0.6069+dorm_select,,
댓글,,,
사람,0.5574+sex,0.5363+sleep_sensitive,0.5245+personality
정도,0.6043+m_sleep,0.5904+weekday_stay,0.5403+age
삭제,0.707+clean_period,,
구해,0.7283+m_sleep,0.6019+sleep_habit,0.5536+sleep_sensitive
신청,0.5037+m_sleep,,
생활,0.6183+dorm_select,0.5373+age,0.5222+weekday_stay
진짜,,,
서로,,,
그냥,0.6094+m_sleep,0.5928+sleep_habit,0.586+sleep_sensitive
긱사,0.6276+sleep_habit,0.6255+m_sleep,0.6108+sleep_sensitive
자주,0.7258+weekday_stay,,
구합,0.5467+college_of,0.5186+m_sleep,
생각,0.5087+m_sleep,,
혹시,0.6836+m_sleep,0.5902+sleep_sensitive,0.5241+sleep_habit
연락,,,
학기,0.535+m_sleep,,
취침,1.0+m_sleep,0.6647+sleep_habit,
벌레,0.6143+sleep_habit,,
상관,0.6815+m_sleep,0.5643+dorm_select,0.5484+college_of
보통,0.6992+weekday_stay,0.5064+sleep_sensitive,
가끔,0.7359+sleep_habit,0.675+m_sleep,0.6+college_of
기간,0.6575+weekday_stay,0.5542+age,
룸메이트,0.5096+sleep_sensitive,0.5054+dorm_select,
거의,0.5349+weekday_stay,,
자기,0.5553+sleep_sensitive,0.5493+m_sleep,0.5327+personality
바로,0.5263+weekday_stay,0.5111+m_sleep,0.5025+age
혼자,0.5286+college_of,0.5178+weekday_stay,
한번,0.6538+weekday_stay,,
편입,0.7058+m_sleep,0.5849+college_of,0.5561+weekday_stay
자고,0.6624+m_sleep,0.5819+sleep_habit,0.5201+age
사과,0.6437+college_of,,
지금,,,
다른,,,
때문,,,
수도,0.6018+sleep_sensitive,0.6001+m_sleep,0.5976+alchol
크게,0.5031+m_sleep,,
하나,0.5639+weekday_stay,0.5546+college_of,
개월,0.5466+weekday_stay,,
조금,,,
기본,,,
사이,0.5614+weekday_stay,0.5606+m_sleep,0.5359+college_of
사용,0.5041+m_sleep,,
본인,0.5247+sleep_sensitive,,
주로,0.5165+weekday_stay,,
보고,,,
이면,,,
계속,0.5344+m_sleep,,
과대,0.8104+college_of,
소개,,,
경우,,,
관심,0.504+m_sleep,,
수업,,,
거나,0.6287+sleep_habit,0.617+sleep_sensitive,0.599+college_of
정해,0.6603+m_sleep,0.6501+sleep_sensitive,0.5919+weekday_stay
최대한,,,
하우스,0.5892+dorm_select,,
환영,0.5129+sleep_sensitive,,
조건,,,
부분,0.5265+college_of,,
학교,,,
랜덤,0.5857+sleep_habit,0.5746+m_sleep,0.5159+weekday_stay
처음,,,
별로,0.607+weekday_stay,0.5798+sleep_sensitive,0.5784+m_sleep
경험,,,
해도,0.5963+sleep_sensitive,0.5025+m_sleep,
고등학교,,,
사항,0.6195+m_sleep,0.5117+weekday_stay,
확인,0.5002+m_sleep,,
사실,,,
이번,,,
다음,,,
동안,0.5902+weekday_stay,0.5308+m_sleep,0.5278+age
가능,0.521+m_sleep,,
그때,,,
참고,,,
대부분,,,
주시,0.7186+sleep_sensitive,0.6836+m_sleep,0.5969+college_of
절대,0.5826+weekday_stay,,
드림,0.7523+m_sleep,0.7113+sleep_habit,0.6005+college_of
배정,0.8279+m_sleep,0.5837+weekday_stay,0.5585+sleep_habit
노력,0.5652+m_sleep,,
이제,,,
거주,0.6345+weekend_stay,0.6141+weekday_stay,
방학,0.508+m_sleep,,
유지,0.5758+m_sleep,,
오늘,,,
자취,0.7968+m_sleep,0.5988+sleep_habit,0.5751+m_how_eat
행정,,,
가지,0.6957+college_of,0.5821+m_sleep,0.5396+sleep_habit
원래,,,
아뇨,0.6427+sleep_sensitive,0.6196+m_sleep,0.6045+sleep_habit
달라,0.5866+sleep_habit,0.5845+m_sleep,0.5511+sleep_sensitive
그거,0.5831+m_sleep,0.5562+age,0.5523+sleep_sensitive
내일,0.6345+weekend_stay,0.6141+weekday_stay,
하루,0.7129+weekday_stay,0.5793+weekend_stay,
상대,0.5595+m_sleep,0.5009+college_of,
추가,,,
월세,0.6158+sleep_sensitive,0.5165+weekday_stay,0.5037+college_of
대신,0.5213+m_sleep,,
